company,time,revenue_m
CWGL,2025,65.1
DASH,2018,291.0
DASH,2019,885.0
DASH,2020,2886.0
DASH,2021,4888.0
DASH,2022,6583.0
DASH,2023,8635.0
DASH,2024,10722.0
DASH,2025,13717.0
DBX,2016,844.8
DBX,2017,1106.8
DBX,2018,1391.7
DBX,2019,1661.3
DBX,2020,1913.9
DBX,2021,2157.9
DBX,2022,2324.9
DBX,2023,2501.6
DBX,2024,2548.2
DBX,2025,2521.0
DDOG,2017,100.8
DDOG,2018,198.1
DDOG,2019,362.8
DDOG,2020,603.5
DDOG,2021,1028.8
DDOG,2022,1675.1
DDOG,2023,2128.4
DDOG,2024,2684.3
DDOG,2025,3427.2
DDS,2009,6988.4
DDS,2010,6226.6
DDS,2011,6253.5
DDS,2012,6405.5
DDS,2013,6751.6
DDS,2014,6691.8
DDS,2015,6780.1
DDS,2016,6754.5
DDS,2017,6418.0
DDS,2018,6422.7
DDS,2019,6503.3
DDS,2020,6343.2
DDS,2021,4433.2
DDS,2022,6624.3
DDS,2023,6996.2
DDS,2024,6874.4
DDS,2025,6590.2
DELL,2018,79040.0
DELL,2019,90621.0
DELL,2020,92154.0
DELL,2021,94224.0
DELL,2022,101197.0
DELL,2023,102301.0
DELL,2024,88425.0
DELL,2025,95567.0
DELL,2026,113538.0
DFH,2019,744.3
DFH,2020,1133.8
DFH,2021,1923.9
DFH,2022,3342.3
DFH,2023,3748.6
DFH,2024,4451.6
DFH,2025,4322.8
DHI,2009,3657.6
DHI,2010,4400.2
DHI,2011,3636.8
DHI,2012,4354.0
DHI,2013,6259.3
DHI,2014,8024.9
DHI,2015,10824.0
DHI,2016,12157.4
DHI,2017,14091.0
DHI,2018,16068.0
DHI,2019,17592.9
DHI,2020,20311.1
DHI,2021,27774.2
DHI,2022,33480.0
DHI,2023,35460.4
DHI,2024,36801.4
DHI,2025,34250.4
DHR,2016,16882.4
DHR,2017,18329.7
DHR,2018,19893.0
DIS,2017,55137.0
DIS,2018,59434.0
DIS,2019,69570.0
DIS,2020,65388.0
DIS,2021,67418.0
DIS,2022,82722.0
DIS,2023,88898.0
DIS,2024,91361.0
DIS,2025,94425.0
DJT,2022,1.5
DJT,2023,4.1
DJT,2024,3.6
DJT,2025,3.7
DKNG,2022,2240.5
DKNG,2023,3665.4
DKNG,2024,4767.7
DKNG,2025,6054.5
DKS,2017,7922.0
DKS,2018,8590.5
DKS,2019,8436.6
DKS,2020,8750.7
DKS,2021,9584.0
DKS,2022,12293.4
DKS,2023,12368.2
DKS,2024,12984.4
DKS,2025,13442.8
DLB,2008,640.2
DLB,2009,719.5
DLB,2010,922.7
DLB,2011,955.5
DLB,2012,926.3
