person,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
timothy_boyle,COLM,41.9,,,,
timothy_dunn,OXY,,,,,
timothy_springer,RNAC,37.5,,,,
toby_neugebauer,FRMI,,,,,
todd_boehly,BBWI,,,,,
todd_christopher,GDDY,,,,,
tom_ford,NOW,,,,,
tom_golisano,PAYX,10.3,,,,
tom_preston_werner,L,,,,,
tom_werner,LINE,,,,,
tony_james,BX,,,,,
tony_xu,DASH,,,0.32,300.0,
travis_boersma,BROS,,,,,
travis_kalanick,UBER,,,,,
trevor_burgess,NP,,,,,
trevor_rees_jones,EXE,,,,,
ty_warner,AAPL,,,,,
tyler_winklevoss,GEMI,,,,,
vasily_shikin,APP,,,5.91,400.0,5.39
vincent_mcmahon,TKO,,,,,
vincent_viola,VIRT,,,,,
vinod_khosla,AFRM,,,,,
vivek_ramaswamy,ROIV,,,,,
vlad_tenev,HOOD,,,2.14,34.248,
walter_kortschak,LINE,,,,,
warren_kanders,CDRE,30.4,,6.53,1550.0,1.16
warren_stephens,DDS,,,,,
wayne_rothbaum,IOVA,,,,,
wayne_weaver,SCVL,,,,,
weili_dai,MRVL,,,,,
wendy_abrams,MDLN,,,,,
william_berkley,WRB,,,17.67,1086.8,3.85
william_boyd,BYD,2.24,,,,
william_conway_jr,CG,,,,,
william_fisher,GAP,,,,,
william_foley,ALIT,1.5,1.5,,,
william_franke,STZ,,,,,
william_goldring,MORN,,,,,
william_hockey,SMCI,,,,,
william_lauder,EL,,,,,
william_stone,SSNC,,,0.01,1000.0,11.64
william_young,FIG,,,,,
willis_j_johnson,CPRT,5.75,,,,
wilma_tisch,L,,,,,
winnie_johnson_marquart,JOUT,5.1,,,,
zachary_stern,STZ,,,,,
