company,time,operating_margin_pct
GSHD,2021,5.7
GSHD,2022,4.8
GSHD,2023,12.6
GSHD,2024,19.4
GSHD,2025,20.4
HD,2008,9.4
HD,2009,6.1
HD,2010,7.3
HPK,2021,46.3
HPK,2022,55.9
HPK,2023,38.4
HPK,2024,31.6
HPK,2025,17.4
IAC,2018,1.4
IAC,2019,0.2
IAC,2020,-0.8
IAC,2021,-3.7
IAC,2022,-9.1
IAC,2023,-6.0
ICE,2011,59.8
ICE,2012,60.7
ICE,2013,9.1
ICE,2014,9.5
ICE,2015,8.9
ICE,2016,9.4
ICE,2017,10.1
IMKTA,2017,3.2
IMKTA,2018,3.0
IMKTA,2019,3.6
IMKTA,2020,6.1
IMKTA,2021,7.0
IMKTA,2022,6.6
IMKTA,2023,5.0
IMKTA,2024,2.6
IMKTA,2025,2.2
INTU,2016,26.5
INTU,2017,27.3
INTU,2018,-1.4
INTU,2019,-2.3
INTU,2020,6.3
INTU,2021,26.0
INTU,2022,20.2
INTU,2023,21.9
INTU,2024,22.3
INTU,2025,26.1
INVA,2012,-9.6
INVA,2015,32.1
INVA,2016,28.5
INVA,2017,30.6
IOT,2021,-83.8
IOT,2022,-82.6
IOT,2023,-39.8
IOT,2024,-34.5
IOT,2025,-15.2
IOT,2026,-3.2
IQV,2011,8.0
IQV,2012,8.1
IQV,2013,2.5
IQV,2014,2.9
IQV,2015,3.1
IQV,2016,2.1
IQV,2017,2.1
JBHT,2008,9.6
JBHT,2009,7.7
JBHT,2010,9.2
JBHT,2011,9.8
JBHT,2012,2.8
JBHT,2013,2.7
JBHT,2014,3.0
JBHT,2015,3.1
JBHT,2016,3.0
JBHT,2017,2.0
JOUT,2021,14.8
JOUT,2022,8.9
JOUT,2023,-3.4
JOUT,2024,-7.2
JOUT,2025,-1.4
KHC,2014,14.4
KHC,2016,23.2
KHC,2017,25.8
KMI,2009,19.6
KMI,2010,14.4
KMI,2011,18.6
KMI,2012,26.0
KMI,2013,28.4
KMI,2014,27.4
KMI,2015,17.0
KMI,2016,27.4
KMI,2017,25.9
KMI,2018,26.8
KMI,2019,36.9
KMI,2020,13.3
KMI,2021,17.6
KMI,2022,21.2
KMI,2023,27.8
KMI,2024,29.0
KMI,2025,27.9
KNX,2009,5.1
KNX,2010,8.3
KNX,2011,2.9
KNX,2012,3.1
KNX,2013,2.5
KNX,2014,3.1
KNX,2015,2.9
KNX,2016,1.9
KNX,2017,18.5
KNX,2018,10.6
KNX,2019,1.4
KNX,2020,12.1
KNX,2021,16.1
KNX,2022,14.7
KNX,2023,4.7
KNX,2024,3.3
KNX,2025,2.9
KO,2016,20.7
KO,2017,21.4
KO,2018,27.3
KO,2019,27.1
KO,2020,27.3
KO,2021,26.7
KO,2022,25.4
KO,2023,24.7
KO,2024,21.2
KO,2025,28.7
KVYO,2021,-27.3
KVYO,2022,-11.6
KVYO,2023,-47.4
KVYO,2024,-9.0
KVYO,2025,-5.5
LEE,2009,-20.6
LEE,2010,19.9
LEE,2011,-13.7
LEE,2012,14.5
LEE,2013,-8.5
LEE,2014,17.2
LEE,2015,16.9
LEE,2016,16.9
LEE,2017,16.3
LEE,2018,16.3
LEN,2009,-20.6
LEN,2010,6.1
LEN,2011,6.2
LEN,2012,8.5
LEN,2013,14.0
LEN,2014,14.7
LEN,2015,15.1
LEN,2016,14.3
LEN,2017,11.7
LEN,2018,12.0
LEN,2019,12.5
LEN,2020,15.5
LINE,2023,7.5
LINE,2024,-6.8
LINE,2025,3.4
LUMN,2008,27.7
LUMN,2009,24.8
LUMN,2010,29.3
LUMN,2011,3.5
LUMN,2012,3.6
LUMN,2013,3.5
LUMN,2014,2.7
LUMN,2015,4.2
LUMN,2016,2.2
LUMN,2017,3.0
LUMN,2018,-7.9
LUMN,2019,3.8
LUMN,2020,4.6
LUMN,2021,21.8
LUMN,2022,0.5
LUMN,2023,-65.8
LUMN,2024,3.5
LUMN,2025,-6.5
LUNR,2022,-6.4
LUNR,2023,-70.7
LUNR,2024,-25.2
LUV,2007,8.0
LUV,2008,4.1
LUV,2009,2.5
LUV,2010,1.8
LUV,2011,0.9
LUV,2012,0.5
LUV,2013,2.2
LUV,2014,3.3
LUV,2015,5.2
LUV,2016,4.1
LUV,2017,3.7
LVS,2016,22.2
LVS,2017,27.2
LVS,2018,6.4
LVS,2019,6.8
LVS,2020,-5.8
LVS,2021,-3.3
LVS,2022,-4.0
LVS,2023,6.8
LVS,2024,5.2
LVS,2025,5.4
MASI,2009,23.2
MASI,2010,23.6
MASI,2011,4.6
MASI,2012,4.5
MASI,2013,2.3
MASI,2015,5.6
MASI,2016,44.7
MASI,2017,7.4
MASI,2018,6.3
MASI,2019,6.6
MASI,2021,22.4
MASI,2022,6.2
MDLN,2023,5.4
MDLN,2024,8.4
MDLN,2025,7.8
MEDP,2016,12.5
MEDP,2017,14.9
MEDP,2018,4.4
MEDP,2019,4.2
MEDP,2020,18.0
MEDP,2021,17.4
MEDP,2022,19.1
MEDP,2023,17.9
MEDP,2024,21.2
MEDP,2025,21.1
META,2010,52.3
META,2011,47.3
META,2012,10.6
META,2013,35.6
META,2014,40.1
META,2015,34.7
META,2016,45.0
META,2017,49.7
MHK,2016,14.3
MHK,2017,14.3
MHK,2018,11.0
MHK,2019,8.3
MHK,2020,6.7
MHK,2021,11.9
MHK,2022,2.1
MHK,2023,-2.6
MHK,2024,6.4
MHK,2025,4.5
MNST,2016,35.6
MNST,2017,35.6
MNST,2018,33.7
MNST,2019,33.4
MNST,2020,35.5
MNST,2021,32.4
MNST,2022,25.1
MNST,2023,27.4
MNST,2024,25.8
MNST,2025,29.2
MORN,2008,27.6
MORN,2009,26.0
MORN,2010,21.8
MORN,2016,22.6
MORN,2017,18.6
MORN,2018,4.8
MORN,2019,3.4
MORN,2020,4.7
MORN,2021,15.1
MORN,2022,9.0
MORN,2023,11.3
MORN,2024,21.3
MORN,2025,21.5
MP,2019,-10.4
MP,2020,-25.8
MP,2021,49.8
MPWR,2009,11.8
MPWR,2010,13.9
MPWR,2011,6.8
MPWR,2012,0.5
MPWR,2013,10.0
MPWR,2014,3.2
MPWR,2015,3.5
MRNA,2020,-95.0
MRNA,2021,72.0
MRNA,2022,48.9
MRVL,2020,-9.0
MRVL,2021,-8.7
MRVL,2022,-7.8
MRVL,2023,4.0
MRVL,2024,-10.3
MRVL,2025,-12.5
MRVL,2026,16.1
MSFT,2008,36.9
MSFT,2009,34.8
MSFT,2010,38.6
MSGE,2022,-0.9
MSGE,2023,12.3
MSGE,2024,11.7
MSGE,2025,13.0
MSI,2007,-1.5
MSI,2008,-10.1
MSI,2009,-0.7
MSI,2010,2.0
MSI,2011,3.4
MSI,2012,4.9
MSI,2013,4.7
MSI,2014,-24.8
MSI,2015,6.8
MSI,2016,6.7
MSI,2017,8.0
MSM,2016,13.1
MSM,2017,13.1
MSM,2018,3.4
MSM,2019,2.7
MSTR,2009,22.8
MSTR,2010,11.1
MSTR,2011,2.7
MSTR,2012,5.1
MSTR,2013,3.4
MSTR,2014,0.9
MSTR,2015,25.3
MSTR,2016,21.0
MSTR,2017,14.7
MSTR,2018,0.8
MSTR,2019,-0.2
MSTR,2020,-2.8
MSTR,2023,-23.2
MTSI,2010,6.9
MTSI,2011,14.8
MTSI,2012,18.7
MTSI,2017,-2.3
MTSI,2018,-18.7
MTSI,2019,-76.1
MTSI,2020,0.6
MTSI,2021,13.3
MTSI,2022,19.7
MTSI,2023,16.6
MTSI,2024,10.1
MTSI,2025,13.4
NET,2017,-7.2
NET,2018,-44.1
NET,2019,-37.6
NET,2020,-24.8
NET,2021,-19.5
NET,2022,-20.6
NET,2023,-14.3
NET,2024,-9.3
NET,2025,-9.6
NFLX,2007,7.6
NFLX,2008,8.9
NFLX,2009,11.5
NFLX,2010,13.1
NFLX,2011,1.9
NFLX,2012,1.4
NFLX,2013,5.2
NFLX,2014,7.3
NFLX,2015,4.5
NFLX,2016,4.3
NFLX,2017,7.2
NFLX,2018,10.2
NFLX,2019,12.9
NFLX,2020,18.3
NFLX,2021,20.9
NFLX,2022,17.8
NFLX,2023,20.6
NFLX,2024,26.7
NFLX,2025,29.5
NOW,2011,11.4
NOW,2012,-15.4
NOW,2013,-15.6
NOW,2014,-22.2
NOW,2015,-16.5
NOW,2016,-30.4
NOW,2017,-5.2
NP,2023,53.5
NP,2024,57.4
NP,2025,44.5
NVCR,2016,-21.6
NVCR,2017,-2.5
NVCR,2018,-3.5
NVCR,2019,0.0
NVCR,2020,2.4
NVCR,2021,-4.4
NVCR,2022,-8.0
NVCR,2023,-45.7
NVCR,2024,-28.2
NVCR,2025,-23.5
NVDA,2008,20.4
NVDA,2009,-2.1
NVDA,2010,-3.0
NVDA,2011,7.2
NVDA,2012,16.2
NVDA,2013,15.1
NVDA,2014,12.0
NVDA,2015,16.2
NVDA,2016,14.9
NVDA,2017,28.0
NVDA,2018,33.0
NVDA,2020,26.1
NVDA,2021,27.2
NVDA,2022,37.3
NVDA,2023,15.7
NVDA,2024,54.1
NVDA,2025,62.4
NVDA,2026,60.4
ONC,2017,-43.5
ORCL,2008,35.0
ORCL,2009,35.8
ORCL,2010,33.8
ORCL,2011,33.8
ORCL,2012,36.9
ORCL,2013,39.5
ORCL,2014,38.6
ORCL,2015,36.3
ORCL,2016,34.0
ORCL,2017,33.7
ORCL,2018,34.3
ORCL,2019,34.3
ORCL,2021,37.6
ORCL,2022,25.7
ORCL,2023,26.2
ORCL,2024,29.0
ORCL,2025,30.8
PACS,2022,9.5
PACS,2023,6.7
PACS,2024,3.0
PACS,2025,5.9
PANW,2011,-8.8
PANW,2012,1.5
PANW,2013,-1.7
PANW,2014,-4.3
PANW,2015,-3.7
PANW,2016,-3.3
PANW,2017,-1.5
PANW,2018,0.4
PATH,2021,-18.2
PATH,2022,-56.1
PATH,2023,-32.9
PATH,2024,-12.6
PATH,2025,-11.4
PAYC,2013,8.8
PAYC,2014,3.2
PAYC,2015,2.8
