listed_company,time,gross_margin_pct
EB,2022,65.2
EB,2023,68.4
EBAY,2009,71.6
EBAY,2010,72.0
EBAY,2011,20.1
EBAY,2012,19.7
EBAY,2013,19.2
EBAY,2014,18.6
EL,2017,79.4
EL,2018,19.0
EL,2019,18.5
EL,2020,11.6
EL,2021,76.4
EL,2022,75.7
EL,2023,71.3
EL,2024,71.7
EL,2025,74.0
ESS,2022,70.2
ESS,2023,70.1
ESS,2024,70.1
ESS,2025,69.9
ET,2010,11.0
ET,2011,9.9
ET,2012,8.4
ET,2013,3.1
ET,2014,3.4
EXE,2009,-9.3
EXE,2010,3.5
EXE,2011,6.3
FIG,2023,91.2
FIG,2024,88.3
FIG,2025,82.4
FIZZ,2016,34.3
FIZZ,2017,39.4
FIZZ,2018,10.2
FIZZ,2019,8.3
FIZZ,2020,9.9
FIZZ,2021,9.4
FIZZ,2022,36.7
FIZZ,2023,33.8
FIZZ,2024,36.0
FIZZ,2025,37.0
FOUR,2018,25.1
FOUR,2019,6.6
FOUR,2020,6.7
FOUR,2021,20.4
FSLR,2016,22.0
FSLR,2017,18.7
FSLR,2018,17.5
FSLR,2019,17.9
FSLR,2020,25.1
FSLR,2021,25.0
FSLR,2022,2.7
FSLR,2023,39.2
FSLR,2024,44.2
FSLR,2025,40.6
FTNT,2017,74.2
FTNT,2018,75.0
FTNT,2019,76.5
FTNT,2020,78.0
FTNT,2021,76.6
FTNT,2022,75.4
FTNT,2023,76.7
FTNT,2024,80.6
FTNT,2025,80.5
GAP,2017,36.3
GAP,2018,11.1
GAP,2019,9.9
GAP,2020,37.4
GAP,2021,34.1
GAP,2022,39.8
GAP,2023,34.3
GAP,2024,38.8
GAP,2025,41.3
GAP,2026,40.8
GMED,2016,76.1
GMED,2017,76.3
GMED,2018,21.0
GMED,2019,20.7
GMED,2020,21.9
GMED,2021,75.0
GMED,2022,74.2
GMED,2023,65.1
GPRO,2012,43.2
GPRO,2013,36.7
GPRO,2014,45.0
GPRO,2015,41.6
GPRO,2016,39.0
GPRO,2017,32.6
GPRO,2018,31.5
GPRO,2019,34.6
GPRO,2020,35.3
GPRO,2021,41.1
