person,time,gross_margin_pct
henry_samueli,2017,13.5
henry_samueli,2018,14.1
herbert_allen_jr,2016,60.7
herbert_allen_jr,2017,62.1
herbert_allen_jr,2018,63.1
herbert_allen_jr,2019,60.8
herbert_allen_jr,2020,59.3
herbert_allen_jr,2021,60.3
herbert_allen_jr,2022,58.1
herbert_allen_jr,2023,59.5
herbert_allen_jr,2024,61.1
herbert_allen_jr,2025,61.6
herbert_fisk_johnson_iii,2021,44.5
herbert_fisk_johnson_iii,2022,36.5
herbert_fisk_johnson_iii,2023,4.3
herbert_fisk_johnson_iii,2024,4.2
herbert_fisk_johnson_iii,2025,8.3
holden_spaht,2017,79.4
holden_spaht,2018,19.0
holden_spaht,2019,18.5
holden_spaht,2020,11.6
holden_spaht,2021,76.4
holden_spaht,2022,75.7
holden_spaht,2023,71.3
holden_spaht,2024,71.7
holden_spaht,2025,74.0
jack_dorsey,2016,33.7
jack_dorsey,2017,37.9
jack_dorsey,2018,39.5
jack_dorsey,2019,40.1
jack_dorsey,2020,28.8
jack_dorsey,2021,25.0
jack_dorsey,2022,34.2
jack_dorsey,2023,34.2
jack_dorsey,2024,36.9
jack_dorsey,2025,42.8
james_chao,2013,91.7
james_chao,2017,21.9
james_chao,2018,4.1
james_chao,2019,3.1
james_chao,2020,4.3
james_chao,2021,29.7
james_chao,2022,25.8
james_chao,2023,17.7
james_chao,2024,16.1
james_chao,2025,7.3
jane_lauder,2016,58.3
jane_lauder,2017,59.5
jane_lauder,2018,58.6
jane_lauder,2019,60.5
jane_lauder,2020,41.2
jane_lauder,2021,62.4
jane_lauder,2022,65.2
jane_lauder,2023,68.4
jared_isaacman,2018,25.1
jared_isaacman,2019,6.6
jared_isaacman,2020,6.7
jared_isaacman,2021,20.4
jared_kaplan,2011,72.8
jared_kaplan,2012,72.3
jared_kaplan,2013,20.7
jared_kaplan,2014,21.7
jared_kaplan,2015,22.6
jared_kaplan,2016,21.7
jared_kaplan,2017,21.0
jared_kaplan,2018,20.8
jay_chaudhry,2016,74.9
jay_chaudhry,2017,78.1
jay_chaudhry,2018,80.1
jay_chaudhry,2019,80.3
jay_chaudhry,2020,77.8
jay_chaudhry,2021,77.7
jay_chaudhry,2022,77.8
jay_chaudhry,2023,77.6
jay_chaudhry,2024,78.0
jay_chaudhry,2025,76.9
jay_robert_pritzker,2010,11.0
jay_robert_pritzker,2011,9.9
jay_robert_pritzker,2012,8.4
jay_robert_pritzker,2013,3.1
jay_robert_pritzker,2014,3.4
jayshree_ullal,2016,64.0
jayshree_ullal,2017,64.5
jayshree_ullal,2018,17.4
jayshree_ullal,2019,14.8
jayshree_ullal,2020,17.9
jayshree_ullal,2021,63.8
jayshree_ullal,2022,61.1
jayshree_ullal,2023,61.9
jayshree_ullal,2024,64.1
jayshree_ullal,2025,64.1
jean_gigi_pritzker,2017,-6.7
jean_gigi_pritzker,2018,20.0
jean_gigi_pritzker,2019,11.2
jean_gigi_pritzker,2020,6.2
jean_gigi_pritzker,2021,25.2
jean_gigi_pritzker,2022,-5.7
jean_gigi_pritzker,2023,-24.1
jean_gigi_pritzker,2024,12.8
jeff_greene,2009,82.4
jeff_greene,2010,76.7
jeff_greene,2011,21.8
jeff_greene,2012,21.0
jeff_greene,2013,23.1
jeff_greene,2014,20.2
jeff_greene,2015,22.7
jeff_greene,2016,22.8
jeff_greene,2017,22.5
jeff_greene,2018,21.3
jeff_greene,2019,22.4
jeff_greene,2020,23.0
jeff_greene,2021,82.0
jeff_greene,2022,79.4
jeff_greene,2023,77.8
jeff_greene,2024,72.1
jeff_lawson,2014,53.4
jeff_lawson,2015,55.4
jeff_lawson,2016,56.5
jeff_lawson,2017,54.2
jeff_skoll,2009,71.6
jeff_skoll,2010,72.0
jeff_skoll,2011,20.1
jeff_skoll,2012,19.7
jeff_skoll,2013,19.2
jeff_skoll,2014,18.6
jeff_tangney,2020,87.2
jeff_tangney,2021,84.9
jeff_tangney,2022,88.4
jeff_tangney,2023,87.2
jeff_tangney,2024,89.3
jeff_tangney,2025,90.2
jeffrey_lorberbaum,2016,31.4
jeffrey_lorberbaum,2017,31.6
jeffrey_lorberbaum,2018,6.5
jeffrey_lorberbaum,2019,6.2
jeffrey_lorberbaum,2020,7.7
jeffrey_lorberbaum,2021,29.2
jeffrey_lorberbaum,2022,25.1
jeffrey_lorberbaum,2023,24.3
jeffrey_lorberbaum,2024,24.8
jeffrey_lorberbaum,2025,23.9
jeffrey_michael,2023,22.0
jeffrey_michael,2024,21.6
jeffrey_michael,2025,23.4
jensen_huang,2008,45.6
jensen_huang,2009,34.3
jensen_huang,2010,13.2
jensen_huang,2011,12.0
jensen_huang,2012,12.3
jensen_huang,2013,13.7
jensen_huang,2014,54.9
jensen_huang,2015,14.9
jensen_huang,2016,15.8
jensen_huang,2017,18.9
jensen_huang,2018,18.5
jensen_huang,2020,62.0
jensen_huang,2021,62.3
jensen_huang,2022,64.9
jensen_huang,2023,56.9
jensen_huang,2024,72.7
jensen_huang,2025,75.0
jensen_huang,2026,71.1
jim_kavanaugh,2010,11.0
jim_kavanaugh,2011,9.9
jim_kavanaugh,2012,8.4
jim_kavanaugh,2013,3.1
jim_kavanaugh,2014,3.4
jim_koch,2009,51.5
jim_koch,2010,55.3
jim_koch,2011,15.6
jim_koch,2012,13.7
jim_koch,2013,14.2
jim_koch,2014,12.0
jim_koch,2015,11.3
jim_koch,2016,11.9
jim_koch,2017,12.5
jim_koch,2018,11.7
jim_koch,2019,11.4
jim_koch,2020,12.5
jim_koch,2021,38.8
jim_koch,2022,41.2
jim_koch,2023,42.4
jim_koch,2024,44.4
jim_koch,2025,48.5
jim_mckelvey,2016,33.7
jim_mckelvey,2017,37.9
jim_mckelvey,2018,39.5
jim_mckelvey,2019,40.1
jim_mckelvey,2020,28.8
jim_mckelvey,2021,25.0
jim_mckelvey,2022,34.2
jim_mckelvey,2023,34.2
jim_mckelvey,2024,36.9
jim_mckelvey,2025,42.8
jimmy_rane,2019,35.1
jimmy_rane,2020,47.7
jimmy_rane,2021,49.6
jimmy_rane,2022,39.6
jimmy_rane,2023,43.1
jimmy_rane,2024,56.5
jimmy_rane,2025,57.5
joe_kiani,2009,70.9
joe_kiani,2010,71.3
joe_kiani,2011,16.8
joe_kiani,2012,17.7
joe_kiani,2013,16.5
joe_kiani,2015,18.6
joe_kiani,2016,17.9
joe_kiani,2017,19.3
joe_kiani,2018,17.3
joe_kiani,2019,17.8
joe_kiani,2021,65.0
joe_kiani,2022,17.3
joe_lonsdale,2018,72.2
joe_lonsdale,2019,67.4
joe_lonsdale,2020,67.7
joe_lonsdale,2021,78.0
joe_lonsdale,2022,78.6
joe_lonsdale,2023,80.6
joe_lonsdale,2024,80.2
joe_lonsdale,2025,82.4
joel_glazer,2018,39.7
joel_glazer,2019,41.4
joel_glazer,2020,70.3
joel_glazer,2021,63.9
joel_glazer,2022,44.5
joel_glazer,2023,34.4
joel_glazer,2024,45.3
joel_greenberg,2017,40.7
joel_greenberg,2018,14.6
joel_greenberg,2019,13.7
joel_greenberg,2020,14.3
joel_greenberg,2021,44.5
joel_greenberg,2022,50.4
joel_greenberg,2023,50.3
joel_greenberg,2024,49.1
joel_greenberg,2025,48.7
john_a_sobrato,2017,7.9
john_a_sobrato,2018,10.1
john_a_sobrato,2019,3.6
john_a_sobrato,2020,4.4
john_a_sobrato,2021,15.1
john_a_sobrato,2022,9.2
john_a_sobrato,2023,16.0
john_a_sobrato,2024,21.0
john_a_sobrato,2025,20.6
john_abele,2012,70.4
john_abele,2013,70.3
john_abele,2014,69.3
john_abele,2015,65.7
john_abele,2016,65.7
john_bicket,2021,69.8
john_bicket,2022,70.9
john_bicket,2023,72.0
john_bicket,2024,73.6
john_bicket,2025,76.1
john_bicket,2026,76.7
john_brown,2016,66.3
john_brown,2017,65.7
john_brown,2018,18.1
john_brown,2019,18.2
john_brown,2020,18.9
john_brown,2021,17.8
john_brown,2022,17.5
john_brown,2023,18.1
john_brown,2024,18.5
john_brown,2025,18.4
john_catsimatidis,2021,44.5
john_catsimatidis,2022,36.5
john_catsimatidis,2023,4.3
john_catsimatidis,2024,4.2
john_catsimatidis,2025,8.3
john_fisher,2017,36.3
john_fisher,2018,11.1
john_fisher,2019,9.9
john_fisher,2020,37.4
john_fisher,2021,34.1
john_fisher,2022,39.8
john_fisher,2023,34.3
john_fisher,2024,38.8
john_fisher,2025,41.3
john_fisher,2026,40.8
john_menard_jr,2016,24.5
john_menard_jr,2017,24.4
john_menard_jr,2018,6.4
john_menard_jr,2019,6.2
john_menard_jr,2020,24.3
john_menard_jr,2021,23.7
john_menard_jr,2022,22.8
john_menard_jr,2023,21.9
john_menard_jr,2024,20.4
john_menard_jr,2025,19.1
john_stanton,2016,46.7
john_stanton,2017,47.0
john_stanton,2018,49.5
john_stanton,2019,49.8
john_tyson,2016,12.7
john_tyson,2017,13.2
john_tyson,2018,3.4
john_tyson,2019,2.7
john_tyson,2020,3.7
john_tyson,2021,13.9
john_tyson,2022,12.5
john_tyson,2023,5.0
john_tyson,2024,6.8
john_tyson,2025,6.5
jon_stryker,2016,66.3
jon_stryker,2017,65.7
jon_stryker,2018,18.1
jon_stryker,2019,18.2
jon_stryker,2020,18.9
jon_stryker,2021,17.8
jon_stryker,2022,17.5
jon_stryker,2023,18.1
jon_stryker,2024,18.5
jon_stryker,2025,18.4
jonathan_nelson,2007,88.8
jonathan_nelson,2008,89.9
jonathan_nelson,2009,89.9
jonathan_nelson,2010,23.7
jonathan_nelson,2011,24.6
jonathan_nelson,2012,23.4
jonathan_nelson,2013,22.1
jonathan_nelson,2014,22.0
jonathan_nelson,2015,23.0
jonathan_nelson,2016,23.8
jonathan_nelson,2017,23.8
jonathan_nelson,2018,23.3
jonathan_nelson,2019,22.7
jonathan_nelson,2020,23.3
jonathan_nelson,2021,88.2
jonathan_nelson,2022,87.7
jonathan_nelson,2023,87.9
jonathan_nelson,2024,89.0
jonathan_nelson,2025,89.3
joseph_steinberg,2016,15.3
joseph_steinberg,2017,49.4
joseph_steinberg,2018,13.2
joseph_steinberg,2019,37.4
joseph_steinberg,2020,30.7
joseph_steinberg,2021,43.6
joseph_steinberg,2022,44.2
joseph_steinberg,2023,46.5
joseph_steinberg,2024,48.0
joseph_steinberg,2025,47.2
karen_pritzker,2016,39.1
karen_pritzker,2017,8.7
karen_pritzker,2018,9.1
kelcy_warren,2010,11.0
kelcy_warren,2011,9.9
kelcy_warren,2012,8.4
kelcy_warren,2013,3.1
kelcy_warren,2014,3.4
ken_xie,2017,74.2
ken_xie,2018,75.0
ken_xie,2019,76.5
ken_xie,2020,78.0
ken_xie,2021,76.6
ken_xie,2022,75.4
ken_xie,2023,76.7
ken_xie,2024,80.6
ken_xie,2025,80.5
kevin_plank,2011,53.8
kevin_plank,2012,15.4
kevin_plank,2013,16.8
kevin_plank,2016,46.5
kevin_plank,2017,45.1
kevin_plank,2018,12.0
kevin_plank,2019,12.9
kevin_plank,2020,15.5
kevin_plank,2021,50.3
kevin_plank,2023,44.9
kevin_plank,2024,10.5
kevin_plank,2025,47.9
kim_kardashian,2018,25.1
kim_kardashian,2019,6.6
