person,name,last_name,chinese_name,gender,birth_year,country,industry,company,source,title,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
cameron_winklevoss,Cameron Winklevoss,Winklevoss,Cameron Winklevoss,Male,1982,usa,Finance & Investments,Gemini,Cryptocurrency,,GEMI,,,,,
cargill_macmillan,"Cargill MacMillan, Jr.",MacMillan,,Male,1929,usa,Food and Beverage,,Cargill Inc.,,,,,,,
cargill_macmillan_iii,"Cargill MacMillan, III.",MacMillan,卡吉尔·麦克米伦三世,Male,1960,usa,Food & Beverage,Cargill,Cargill,,,,,,,
carl_berg,Carl Berg,Berg,,Male,1940,usa,Real Estate,,real estate,,,,,,,
carl_cook,Carl Cook,Cook,卡尔·库克,Male,1963,usa,Healthcare,Cook,Medical devices,,,,,,,
carl_desantis,Carl DeSantis,DeSantis,Carl DeSantis,Male,1942,usa,Food & Beverage,Celsius Holdings,Energy drink,,,,,,,
carl_icahn,Carl Icahn,Icahn,卡尔·伊坎,Male,1936,usa,Finance & Investments,Icahn Enterprises,Investments,"Founder, Icahn Capital Management",IEP,,,,,
carl_lindner,Carl Lindner Jr,Lindner,,Male,1921,usa,Sports,,investments,,,,,,,
carl_thoma,Carl Thoma,Thoma,Carl Thoma,Male,1949,usa,Finance & Investments,Thoma Bravo,Private equity,,BEN,,,,,
carol_jenkins_barnett,Carol Jenkins Barnett,Barnett,,Female,1959,usa,Food & Beverage,Publix,Publix supermarkets,"Chairman, Publix  Super Markets",,,,,,
carolyn_rafaelian,Carolyn Rafaelian,Rafaelian,卡罗琳·拉斐里安,Female,1969,usa,Fashion & Retail,Alex and Ani,jewelry,,,,,,,
carson_brice,Carson Brice,Brice,Carson Brice,Female,1968,usa,Finance & Investments,First Citizens Bank,Banking,,FCNCB,,,,,
catherine_lozick,Catherine Lozick,Lozick,凯瑟琳·洛兹克,Female,1945,usa,Manufacturing,Swagelok,Valve manufacturing,,,,,,,
chad_richison,Chad Richison,Richison,乍得·里奇森,Male,1971,usa,Technology,Paycom Software,Payroll processing,,PAYC,,,,865.28,9.0
chamath_palihapitiya,Chamath Palihapitiya,Palihapitiya,,Male,1979,usa,Finance & Investments,,"Facebook, venture capital",,,,,,,
charles_brandes,Charles Brandes,Brandes,查尔斯·布兰德斯,Male,1945,usa,Finance and Investments,Brandes Investment Partners,money management,"Founder & Chairman, Brandes Investment Partners, L.P.",,,,,,
charles_butt,Charles Butt,Butt,查尔斯·巴特,Male,1938,usa,Fashion & Retail,HEB Store,Supermarkets,,,,,,,
charles_cohen,Charles Cohen,Cohen,,Male,1952,usa,Real Estate,,Real estate,,APH,,,,,
charles_dolan,Charles Dolan,Dolan,查尔斯·多兰,Male,1927,usa,Media & Entertainment,MSG Sports,Cable television,"Chairman and Founder, Cablevision Systems Corp.",AMCX,,,8.69,2000.0,2.31
charles_ergen,Charles Ergen,Ergen,查尔斯·厄尔根,Male,1953,usa,Media & Entertainment,EchoStar,Satellite TV,,,,,,,
