person,education_order,school,degree
david_c_paul,1,Temple University,Master of Science
david_c_paul,2,University of Madras,Bachelor of Arts/Science
david_duffield,1,Cornell University,Bachelor of Engineering
david_duffield,2,Samuel Curtis Johnson Graduate School of Management,Master of Business Administration
david_filo,1,Stanford University,Master of Science
david_filo,2,Tulane University,Bachelor of Arts/Science
david_geffen,1,The University of Texas at Austin,Drop Out
david_golub,1,Harvard College,Bachelor of Arts/Economics
david_golub,2,Oxford University,Master of Philosophy
david_golub,3,Stanford Business School,Master of Business Administration
david_hoffmann,1,Central Missouri State University,Bachelor of Business Administration
david_kabiller,1,Northwestern University,Bachelor of Arts/Science
david_kabiller,2,Northwestern University,Master of Business Administration
david_kaplan,1,University of Michigan,Bachelor of Business Administration
david_rubenstein,1,Duke University,Bachelor of Arts/Science
david_rubenstein,2,University of Chicago,Doctor of Jurisprudence
david_shaw,1,Stanford University,Doctorate
david_shaw,2,"University of California, San Diego",Bachelor of Arts/Science
david_siegel,1,Massachusetts Institute of Technology,Ph.D
david_siegel,2,Princeton University,Bachelor of Arts/Science
david_steward,1,Central Missouri State University,Bachelor of Arts/Science
david_sun,1,Tatung University,Bachelor of Engineering
david_tepper,1,David A. Tepper School of Business,Master of Business Administration
david_tepper,2,University of Pittsburgh,Bachelor of Arts/Science
david_walentas,1,University of Virginia,Bachelor of Arts/Science
david_zalik,1,Auburn University,Drop Out
dean_solon,1,Purdue University,Drop Out
dennis_washington,1,High School,Diploma
diane_hendricks,1,High School,Diploma
dick_wolf,1,The University of Pennsylvania,Bachelor of Arts
dirk_ziff,1,Columbia University,Bachelor of Arts/Science
dirk_ziff,2,Harvard University,Master of Business Administration
don_hankey,1,University of Southern California,Bachelor of Arts/Science
don_vultaggio,1,High School,High School Graduate
donald_bren,1,University of Washington,Bachelor of Arts/Science
donald_newhouse,1,Syracuse University,Drop Out
donald_sterling,1,California State Los Angeles,Bachelor of Arts/Science
donald_sterling,2,Southwestern Law School,Doctor of Jurisprudence
donald_trump,1,Fordham University,
donald_trump,2,University of Pennsylvania,Bachelor of Arts/Science
doris_fisher,1,Stanford University,Bachelor of Arts/Science
doug_meijer,1,University of Michigan,Bachelor of Arts/Science
doug_ostrover,1,New York University,Master of Business Administration
doug_ostrover,2,University of Pennsylvania,Bachelor of Arts/Science
douglas_leone,1,Columbia University,Master of Science
douglas_leone,2,Cornell University,Bachelor of Arts/Science
douglas_leone,3,MIT Sloan School of Management,Master of Business Administration
drayton_mclane_jr,1,Baylor University,Bachelor of Arts/Science
drayton_mclane_jr,2,Broad College of Business,Master of Business Administration
drew_houston,1,Massachusetts Institute of Technology,Bachelor of Arts/Science
dustin_moskovitz,1,Harvard University,Drop Out
dwight_schar,1,Ashland University,Bachelor of Arts/Science
edward_bass,1,Yale University,Bachelor of Arts/Science
edward_debartolo_jr,1,Notre Dame University,Bachelor of Arts/Science
edward_johnson_iv,1,Northeastern University,Bachelor of Arts/Science
edward_lampert,1,Yale University,Bachelor of Arts/Science
edward_roski_jr,1,University of Southern California,Bachelor of Arts/Science
edward_stack,1,St. John Fisher College,Bachelor of Arts/Science
egon_durban,1,Georgetown University,Bachelor of Science
elizabeth_johnson,1,Franklin Pierce University,Bachelor of Arts/Science
elon_musk,1,University of Pennsylvania,Bachelor of Arts/Science
eren_ozmen,1,University of Nevada at Reno,Master of Business Administration
eric_lefkofsky,1,University of Michigan,Bachelor of Arts/Science
eric_lefkofsky,2,University of Michigan,Doctor of Jurisprudence
eric_schmidt,1,Princeton University,Bachelor of Arts/Science
