person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
michael_pieper,Michael Pieper,Pieper,79.0,1946.0,Male,Switzerland,Kitchen appliances,Manufacturing,"CEO of Artemis Group, Artemis Real Estate Partners",,2025
michael_platt,Michael Platt,Platt,57.0,1968.0,Male,United Kingdom,Hedge funds,Finance & Investments,"Founder, BlueCrest Capital Management",,2025
michael_polsky,Michael Polsky,Polsky,76.0,1949.0,Male,United States,Electric power,Energy,,no-pic,2025
michael_price,Michael Price,Price,70.0,1955.0,Male,United States,investments,Finance & Investments,"President, MFP Investors Inc.",,2022
michael_rees,Michael Rees,Rees,50.0,1975.0,Male,United States,Private equity,Finance & Investments,,no-pic,2025
michael_reiner_schmidt_ruthenbeck,Michael & Reiner Schmidt-Ruthenbeck,Schmidt-Ruthenbeck,80.0,1945.0,Male,Germany,retail,Fashion & Retail,,no-pic,2019
michael_rubin,Michael Rubin,Rubin,53.0,1972.0,Male,United States,Online retail,Fashion & Retail,,,2025
michael_s_smith,Michael S. Smith,Smith,70.0,1955.0,Male,United States,Liquefied natural gas,Energy,,no-pic,2025
michael_saylor,Michael Saylor,Saylor,60.0,1965.0,Male,United States,Cryptocurrency,Technology,,no-pic,2025
michael_spencer,Michael Spencer,Spencer,70.0,1955.0,Male,United Kingdom,Stock exchange,Finance & Investments,,no-pic,2025
michael_steinhardt,Michael Steinhardt,Steinhardt,84.0,1941.0,Male,United States,Hedge funds,Finance & Investments,,,2025
michael_stoschek,Michael Stoschek,Stoschek,75.0,1950.0,Male,Germany,autoparts,Automotive,,,2016
michael_strauss,Michael Strauss,Strauss,89.0,1936.0,Male,Israel,"food, beverages",Food and Beverage,,,2011
michael_teel,Michael Teel,Teel,74.0,1951.0,Male,United States,supermarkets,Fashion & Retail,,no-pic,2025
michael_tojner,Michael Tojner,Tojner,59.0,1966.0,Male,Austria,"Batteries, investments",Manufacturing,,no-pic,2025
michael_xie,Michael Xie,Xie,56.0,1969.0,Male,United States,Cybersecurity,Technology,,no-pic,2025
michael_ying,Michael Ying,Ying,75.0,1950.0,Male,Hong Kong,Retail,Fashion & Retail,,,2025
michaela_herz,Michaela Herz,Herz,50.0,1975.0,Female,Germany,Coffee,Finance & Investments,,no-pic-female,2025
michal_solowow,Michal Solowow,Solowow,63.0,1962.0,Male,Poland,Investments,Finance & Investments,,,2025
michal_strnad,Michal Strnad,Strnad,32.0,1993.0,Male,Czech Republic,Defense Contracting,Manufacturing,,no-pic,2025
michel_chalhoub,Michel Chalhoub,Chalhoub,91.0,1934.0,Male,France,retail,Fashion & Retail,,no-pic,2019
michel_leclercq,Michel Leclercq,Leclercq,86.0,1939.0,Male,France,Sporting goods,Fashion & Retail,,no-pic,2025
michel_litvak_2,Michel Litvak,Litvak,73.0,1952.0,Male,Russia,Seaport,Logistics,,no-pic,2025
michele_ferrero,Michele Ferrero,Ferrero,98.0,1927.0,Male,Italy,chocolates,Food and Beverage,,,2014
michele_kang,Michele Kang,Kang,66.0,1959.0,Female,United States,Healthcare & Technology,Technology,,no-pic-female,2025
michelle_zatlyn,Michelle Zatlyn,Zatlyn,46.0,1979.0,Female,Canada,Cybersecurity,Technology,,no-pic-female,2025
michiel_le_roux,Michiel Le Roux,Le Roux,76.0,1949.0,Male,South Africa,Banking,Finance & Investments,,no-pic,2025
micky_arison,Micky Arison,Arison,76.0,1949.0,Male,United States,Carnival Cruises,Service,,,2025
micky_jagtiani,Micky Jagtiani,Jagtiani,71.0,1954.0,Male,India,Retail,Fashion & Retail,,,2023
miguel_fluxa_rossello,Miguel Fluxa Rossello,Fluxa Rossello,87.0,1938.0,Male,Spain,Hotels,Service,,no-pic,2025
miguel_krigsner,Miguel Krigsner,Krigsner,75.0,1950.0,Male,Brazil,Cosmetics,Fashion & Retail,,,2025
miguel_mckelvey,Miguel McKelvey,McKelvey,48.0,1977.0,Male,United States,WeWork,Real Estate,"Cofounder, WeWork",no-pic,2019
miguel_tomas_arrufat_pujol,Miguel Tomás Arrufat Pujol,Arrufat Pujol,64.0,1961.0,Male,Spain,Education technology,Technology,,no-pic,2025
mika_anttonen,Mika Anttonen,Anttonen,58.0,1967.0,Male,Finland,Oil & gas,Energy,,no-pic,2025
mikail_shishkhanov,Mikail Shishkhanov,Shishkhanov,50.0,1975.0,Male,Russia,"oil, banking, real estate",Diversified,,,2017
mike_adenuga,Mike Adenuga,Adenuga,72.0,1953.0,Male,Nigeria,"Telecom, oil",Diversified,,,2025
mike_bingle,Mike Bingle,Bingle,51.0,1974.0,Male,United States,private equity,Finance & Investments,,no-pic,2020
mike_brown_1,Mike Brown,Brown,89.0,1936.0,Male,United States,Cincinnati Bengals,Sports,,no-pic,2025
mike_cannon_brookes,Mike Cannon-Brookes,Cannon-Brookes,45.0,1980.0,Male,Australia,Software,Technology,,,2025
mike_danson,Mike Danson,Danson,62.0,1963.0,Male,United Kingdom,data services,Finance & Investments,,no-pic,2025
mike_lazaridis,Mike Lazaridis,Lazaridis,62.0,1963.0,Male,Canada,Research in Motion,Technology,,,2011
mike_repole,Mike Repole,Repole,57.0,1968.0,Male,United States,Sports drink,Food & Beverage,,no-pic,2025
