person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
john_goff,self-made,1955-08-26,Fort Worth,Texas,Married,,United States,,Lake Jackson,Texas,
john_h_macmillan_iv_iv,inherited,1952-07-01,Minneapolis,Minnesota,,,,,,,
john_henry,self-made,1949-09-13,Boca Raton,Florida,Married,2.0,,7.0,,,1.0
john_krystynak,self-made,1968-05-01,Incline Village,Nevada,,,,,,,
john_liew,self-made,1967-08-20,Greenwich,Connecticut,Married,2.0,,8.0,,,
john_macmillan_1,inherited,1949-09-20,Plymouth,Minnesota,,4.0,,1.0,,,
john_malone,self-made,1941-03-07,Elizabeth,Colorado,Married,2.0,,8.0,,,3.0
john_mars,inherited,1935-10-15,Jackson,Wyoming,Married,3.0,,2.0,,,2.0
john_menard_jr,self-made,1940-01-22,Eau Claire,Wisconsin,Married,6.0,United States,9.0,,Wisconsin,1.0
john_middleton,inherited,1955-03-02,Bryn Mawr,Pennsylvania,Married,2.0,,5.0,,,2.0
john_morgan,,,Metairie,Louisiana,,,,,,,
john_morris,self-made,1948-03-19,Springfield,Missouri,Married,4.0,United States,9.0,Springfield,Missouri,3.0
john_overdeck,self-made,1969-12-21,Millburn,New Jersey,Separated,3.0,,8.0,,,3.0
john_oyler,self-made,1968-04-03,Reno,Nevada,Married,,,,,,
john_paul_dejoria,self-made,1944-04-13,Austin,Texas,Married,6.0,,10.0,,,2.0
john_paulson,self-made,1955-12-14,New York,New York,Separated,2.0,,8.0,,,4.0
john_pritzker,inherited and growing,1953-08-10,San Francisco,California,Married,3.0,United States,3.0,,,3.0
john_sall,self-made,1948-04-04,Cary,North Carolina,Married,4.0,,8.0,Rockford,,2.0
john_stanton,self-made,1955-07-31,Bellevue,Washington,Married,2.0,,,,,
john_tu,self-made,1941-08-12,Rolling Hills,California,Married,2.0,China,9.0,Chongqing,,1.0
john_tyson,inherited and growing,1953-09-05,Springdale,Arkansas,Single,2.0,United States,5.0,Springdale,Arkansas,2.0
johnelle_hunt,self-made,1932-01-04,Fayetteville,Arkansas,Widowed,2.0,United States,7.0,Heber Springs,Arkansas,2.0
johnny_ho,self-made,,New York,New York,,,,,,,
jon_stryker,inherited,1958-05-03,New York,New York,Married,2.0,United States,1.0,Kalamazoo,Michigan,4.0
jon_winkelried,self-made,1959-09-15,San Francisco,California,Married,,,,,,
jon_yarbrough,self-made,1957-05-10,Franklin,Tennessee,Married,2.0,United States,8.0,,,1.0
jonathan_gray,self-made,1970-02-04,New York,New York,Married,,,6.0,,,2.0
jonathan_nelson,self-made,1956-05-18,Providence,Rhode Island,"Widowed, Remarried",3.0,,8.0,,,2.0
jonathan_tisch,inherited,1953-12-07,New York,New York,Married,2.0,United States,,,,
jorge_mas,inherited and growing,1963-02-28,Miami,Florida,Married,3.0,,,,,
jorge_perez,self-made,1949-10-17,Miami,Florida,Married,4.0,Argentina,8.0,,,3.0
jose_e_feliciano,self-made,1973-05-29,Los Angeles,California,Married,,Puerto Rico,8.0,,,1.0
joseph_bae,self-made,1972-01-12,New York,New York,Married,4.0,,,,,
joseph_edelman,self-made,1955-06-10,New York,New York,Married,,,7.0,,,
joseph_grendys,self-made,1961-12-01,Chicago,Illinois,Single,,United States,7.0,Chicago,Illinois,1.0
joseph_liemandt,self-made,1968-08-05,Austin,Texas,Single,,,7.0,,,
joseph_pitt_reeves_hyde_iii,inherited and growing,1942-12-27,Memphis,Tennessee,Married,3.0,,,,,
