person,ticker,cik
lauren_leichtman,STZ,0000016918
laurence_fink,BLK,0002012383
laurene_powell_jobs,AAPL,0000320193
laurie_tisch,L,0000060086
lawrence_golub,GBDC,0001476765
lee_ainslie,STZ,0000016918
lee_bass,XOM,0000034088
leo_koguan,HD,0000354950
leon_black,APO,0001858681
leonard_abess,HLNE,0001433642
leonard_schleifer,REGN,0000872589
leonard_stern,ARES,0001176948
les_wexner,BBWI,0000701985
liesel_pritzker_simmons,AN,0000350698
lisa_su,AMD,0000002488
lloyd_blankfein,GS,0000886982
lorenzo_fertitta,RRR,0001653653
lucy_guo,CPRT,0000900075
lucy_stitzer,WLK,0001262823
lukas_walton,WMT,0000104169
lyndal_stephens_greth,FANG,0001539838
mackenzie_scott,AMZN,0001018724
marc_andreessen,COIN,0001679788
marc_benioff,CRM,0001108524
marc_lipschultz,OWL,0001823945
marc_lore,ACHR,0001824502
marc_rowan,APO,0001858681
marcelo_claure,TMUS,0001283699
marco_degeorge,SNOW,0001640147
margaret_baker,MDLN,0002046386
marianne_liebmann,APP,0001751008
marilyn_simons,APO,0001858681
marissa_mayer,GOOGL,0001652044
mark_attanasio,COLM,0001050797
mark_cuban,RDI,0000716634
mark_gallogly,EL,0001001250
mark_hancock,PACS,0002001184
mark_jones,GSHD,0001726978
mark_pincus,AUR,0001828108
mark_shoen,UHAL,0000004457
mark_stevens,ABNB,0001559720
mark_zuckerberg,META,0001326801
martha_ingram,IMKTA,0000050493
martine_rothblatt,UTHR,0001082554
marty_horton,DHI,0000882184
mary_alice_dorrance_malone,CPB,0000016732
mat_ishbia,UWMC,0001783398
matthew_prince,NET,0001477333
max_levchin,AFRM,0001820953
max_lytvyn,TSN,0000100493
meg_whitman,CRWV,0001769628
melinda_french_gates,AN,0000350698
michael_arougheti,ARCC,0001287750
michael_cagney,FIGR,0002064124
michael_chiang,MPWR,0001280452
michael_dell,DELL,0001571996
michael_dunlap,NNI,0001258602
michael_intrator,CRWV,0001769628
michael_jordan,DKNG,0001883685
michael_kim,AFRM,0001820953
michael_krasny,STLD,0001022671
michael_milken,ARES,0001176948
michael_patterson,BLK,0002012383
michael_rees,OWL,0001823945
michael_sabel,VG,0002007855
michael_saylor,MSTR,0001050446
michael_steinhardt,WT,0000880631
michael_truell,TSLA,0001318605
michael_xie,FTNT,0001262039
michelle_zatlyn,TEAM,0001650372
micky_arison,CCL,0000815097
mike_brown,BLK,0002012383
mike_speiser,PSTG,0001474432
milane_frantz,EPD,0001061219
min_kao,GRMN,0001121788
miriam_adelson,LVS,0001300514
mitchell_jacobson,MSM,0001003078
mitchell_rales,DHR,0000313616
mortimer_zuckerman,BXP,0001037540
nancy_mills_barnett,MDLN,0002046386
nancy_walton_laurie,FMBH,0000700565
nathan_blecharczyk,ABNB,0001559720
neal_blue,TPG,0001880661
neil_bluhm,RSI,0001793659
nelson_peltz,WEN,0000030697
nicholas_howley,PRM,0001880319
nicholas_pritzker,H,0001468174
nicholas_woodman,GPRO,0001500435
nick_caporella,FIZZ,0000069891
nicolas_berggruen,NOMD,0001651717
nicole_shanahan,GOOGL,0001652044
nikesh_arora,PANW,0001327567
niraj_shah,W,0001616707
noam_gottesman,NOMD,0001651717
norma_lerner,CARG,0001494259
norman_asbjornson,AAON,0000824142
norman_braman,PSA,0001393311
noubar_afeyan,DNLI,0001714899
olivia_holding,FCNCB,0000798941
olivier_pomel,DDOG,0001561550
omani_carson,BYD,0000906553
oprah_winfrey,WBD,0001437107
orlando_bravo,VG,0002007855
pablo_legorreta,PROK,0001850270
palmer_luckey,META,0001326801
pantas_sutardja,CRDO,0001807794
pat_neal,ANGX,0001865200
pat_stryker,SYK,0000310764
patrick_hanrahan,CRM,0001108524
patrick_ryan,AON,0000315293
patrick_zalupski,DFH,0001825088
patrizio_vinciarelli,VICR,0000751978
paul_saville,NVR,0000906163
paul_sciarra,JOBY,0001819848
peggy_cherng,EWBC,0001069157
penny_pritzker,H,0001468174
peter_briger,FIG,0001579878
peter_gassner,VEEV,0001393052
peter_guber,RNAC,0001453687
peter_kellogg,GS,0000886982
peter_ludwig,UAA,0001336917
peter_thiel,CMMB,0001534248
phil_knight,NKE,0000320187
phil_ruffin,IEP,0000813762
pierre_omidyar,EBAY,0001065088
raj_sardana,XYZ,0001512673
rakesh_gangwal,LUV,0000092380
ralph_lauren,RL,0001037038
randa_williams,EPD,0001061219
randal_j_kirk,ABBV,0001551152
randolph_lerner,BAC,0000070858
ray_davis,ET,0001276187
reagan_horton,DHI,0000882184
reed_hastings,NFLX,0001065280
reid_hoffman,AUR,0001828108
ric_elias,GAP,0000039911
richard_devos_jr,H,0001468174
richard_fairbank,COF,0000927628
richard_hayne,URBN,0000912615
richard_kinder,KMI,0001506307
richard_kurtz,ALIT,0001809104
richard_lefrak,BKU,0001504008
richard_sands,STZ,0000016918
richard_schulze,BBY,0000764478
richard_teets_jr,STLD,0001022671
rick_caruso,KHC,0001637459
rick_cohen,SYM,0001837240
rick_smith,AXON,0001069183
rick_workman,OWL,0001823945
rob_walton,WMT,0000104169
robert_bass,T,0000732717
robert_duggan,SMMT,0001599298
robert_fisher,GAP,0000039911
robert_johnson,JNJ,0000200406
robert_muglia,SNOW,0001640147
robert_pender,VG,0002007855
robert_pera,UI,0001511737
robert_rowling,RSI,0001793659
robert_sands,STZ,0000016918
robert_wood_johnson_iv,JNJ,0000200406
robyn_jones,GSHD,0001726978
rodger_riney,SBUX,0000829224
rodney_sacks,MNST,0000865752
roger_penske,PAG,0001019849
romesh_t_wadhwani,JPM,0000019617
ron_corio,ARRY,0001820721
ron_shaich,BJRI,0001013488
ronald_clarke,CPAY,0001175454
ronald_lauder,EL,0001001250
ronald_perelman,SIGA,0001010086
ronda_stryker,SYK,0000310764
ross_perot_jr,NET,0001477333
rupert_johnson_jr,BEN,0000038777
rupert_murdoch,FOXA,0001754301
ryan_cohen,BABA,0001577552
ryan_graves,LMND,0001691421
ryan_horton,DHI,0000882184
ryan_smith,PAYC,0001590955
s_curtis_johnson,SEE,0001012100
safra_catz,ORCL,0001341439
sam_altman,OKLO,0001849056
sanjay_gajendra,ALAB,0001736297
sanjit_biswas,IOT,0001642896
sarah_humphreys_atkins,CRM,0001108524
satya_nadella,MSFT,0000789019
scot_french,BLK,0002012383
scott_cook,INTU,0000896878
scott_duncan,EPD,0001061219
scott_kapnick,BLK,0002012383
scott_nuttall,KKR,0001404912
sean_parker,META,0001326801
sergey_brin,GOOGL,0001652044
seth_boro,CPNG,0001834584
shantanu_narayen,ADBE,0000796343
sharron_hunt,AVGO,0001730168
sheryl_sandberg,META,0001326801
shuo_wang,ALAB,0001736297
shyam_sankar,DNA,0001830214
sid_bass,XOM,0000034088
stanley_hubbard,T,0000732717
stanley_tang,DASH,0001792789
stefan_kaluzny,GAP,0000039911
stephane_bancel,MRNA,0001682852
stephen_cohen_palantir,PLTR,0001321655
stephen_ketchum,CPRT,0000900075
stephen_ross,QXO,0001236275
stephen_schwarzman,BX,0001393818
steve_ballmer,MSFT,0000789019
steve_case,T,0000732717
steve_ells,CMG,0001058090
steve_wynn,WYNN,0001174922
steven_conine,CARG,0001494259
steven_rales,DHR,0000313616
steven_sarowitz,ANGX,0001865200
steven_tisch,L,0000060086
steven_udvar_hazy,AL,0001487712
stewart_butterfield,CRM,0001108524
stewart_resnick,CG,0001527166
stuart_miller,LEN,0000920760
sue_gross,L,0000060086
sundar_pichai,GOOGL,0001652044
susan_ocampo,MTSI,0001493594
tamara_gustavson,PSA,0001393311
tarek_mansour,JNJ,0000200406
ted_turner,GS,0000886982
tench_coxe,APAM,0001517302
terry_leprino,STZ,0000016918
terry_taylor,MTZ,0000015615
theodore_leonsis,AXP,0000004962
theresia_gouw,META,0001326801
thierry_cruanes,SNOW,0001640147
thomas_b_hagen,ERIE,0000922621
thomas_duff,CNA,0000021175
thomas_frist_jr,HCA,0000860730
thomas_james,RJF,0000720005
thomas_lee,DIS,0001744489
thomas_mueller,MNST,0000865752
thomas_peterffy,IBKR,0001381197
thomas_powell,POWL,0000080420
thomas_pritzker,H,0001468174
thomas_siebel,AI,0001577526
thomas_tull,BYND,0001655210
tilman_fertitta,DKNG,0001883685
tim_cook,AAPL,0000320193
timothy_boyle,COLM,0001050797
timothy_dunn,OXY,0000797468
timothy_springer,RNAC,0001453687
toby_neugebauer,FRMI,0002071778
todd_boehly,BBWI,0000701985
todd_christopher,GDDY,0001609711
tom_ford,NOW,0001373715
tom_golisano,PAYX,0000723531
tom_preston_werner,L,0000060086
tom_werner,LINE,0001868159
tony_james,BX,0001393818
tony_xu,DASH,0001792789
travis_boersma,BROS,0001866581
travis_kalanick,UBER,0001543151
trevor_burgess,NP,0002067129
trevor_rees_jones,EXE,0000895126
ty_warner,AAPL,0000320193
tyler_winklevoss,GEMI,0002055592
vasily_shikin,APP,0001751008
vincent_mcmahon,TKO,0001973266
vincent_viola,VIRT,0001592386
vinod_khosla,AFRM,0001820953
vivek_ramaswamy,ROIV,0001635088
vlad_tenev,HOOD,0001783879
walter_kortschak,LINE,0001868159
warren_kanders,CDRE,0001860543
warren_stephens,DDS,0000028917
wayne_rothbaum,IOVA,0001425205
wayne_weaver,SCVL,0000895447
weili_dai,MRVL,0001835632
wendy_abrams,MDLN,0002046386
william_berkley,WRB,0000011544
william_boyd,BYD,0000906553
william_conway_jr,CG,0001527166
william_fisher,GAP,0000039911
william_foley,ALIT,0001809104
william_franke,STZ,0000016918
william_goldring,MORN,0001289419
william_hockey,SMCI,0001375365
william_lauder,EL,0001001250
william_stone,SSNC,0001402436
william_young,FIG,0001579878
willis_j_johnson,CPRT,0000900075
wilma_tisch,L,0000060086
winnie_johnson_marquart,JOUT,0000788329
zachary_stern,STZ,0000016918
